Joueur,Équipe,Matchs,Minutes,Buts,Passes décisives,xG,xA,MinsPerMatch,GoalsPerMatch
Pedro Neto,Chelsea,13,703,1,2,0.63561069406569,2.462122455239296,54,0.07692307692307693
Reiss Nelson,"Arsenal,Fulham",12,491,1,1,1.4182224795222282,1.1306451223790646,40,0.08333333333333333
Trevoh Chalobah,Crystal Palace,9,803,1,0,0.4115753695368767,0.8455903567373753,89,0.1111111111111111
David Brooks,Bournemouth,8,134,1,0,0.9615281820297241,0.23466109856963158,16,0.125
Bobby Reid,Leicester,10,209,1,0,0.6221005925908685,0.09133073687553406,20,0.1
Tom Cairney,Fulham,10,147,1,0,0.032559584826231,1.0188103262335062,14,0.1
Matt Doherty,Wolverhampton Wanderers,8,379,1,0,0.6907530501484871,1.1771382167935371,47,0.125
Axel Disasi,Chelsea,3,183,1,0,0.5318944454193115,0,61,0.3333333333333333
Christian Nørgaard,Brentford,12,1000,1,2,1.6481832098215818,0.567972807213664,83,0.08333333333333333
Cristian Romero,Tottenham,12,976,1,0,1.2029815949499607,0.5379867702722549,81,0.08333333333333333
Ezri Konsa Ngoyo,Aston Villa,13,1091,1,0,0.47486186027526855,0.14669684693217278,83,0.07692307692307693
Jean-Ricner Bellegarde,Wolverhampton Wanderers,13,683,1,2,0.35578408371657133,0.5727940797805786,52,0.07692307692307693
João Félix,Chelsea,9,278,1,1,2.3974050786346197,0.6305101066827774,30,0.1111111111111111
Matthijs de Ligt,Manchester United,15,1067,1,0,1.2407195344567299,0.04875717684626579,71,0.06666666666666667
Amad Diallo Traore,Manchester United,13,781,1,6,1.380247970111668,2.493278667330742,60,0.07692307692307693
Riccardo Calafiori,Arsenal,8,519,1,0,0.5618385458365083,0.08091676235198975,64,0.125
Tariq Lamptey,Brighton,4,188,1,2,0.015745902433991432,0.4996846839785576,47,0.25
Taylor Harwood-Bellis,Southampton,14,1131,1,0,1.7264893501996994,0.9071156922727823,80,0.07142857142857142
George Hirst,Ipswich,8,163,1,1,0.8599511682987213,0.34214659593999386,20,0.125
Wout Faes,Leicester,15,1203,1,0,1.2339492477476597,0.028868532739579678,80,0.06666666666666667
Eberechi Eze,Crystal Palace,12,1034,1,2,3.5496200174093246,2.6443407852202654,86,0.08333333333333333
Maxence Lacroix,Crystal Palace,12,1080,1,1,0.9460413111373782,0.6190028935670853,90,0.08333333333333333
Matthew Cash,Aston Villa,9,650,1,0,0.0985082108527422,0.4765537641942501,72,0.1111111111111111
Leif Davis,Ipswich,15,1350,1,2,0.43122029304504395,4.457036517560482,90,0.06666666666666667
Moisés Caicedo,Chelsea,15,1340,1,2,0.34741989709436893,1.8819972202181816,89,0.06666666666666667
Crysencio Summerville,West Ham,14,589,1,1,1.5411996692419052,1.7374591827392578,42,0.07142857142857142
Fabio Carvalho,Brentford,14,358,1,1,1.6159534193575382,0.5770240947604179,25,0.07142857142857142
Vitaly Janelt,Brentford,14,1157,1,3,0.37565962970256805,1.651535876095295,82,0.07142857142857142
Patson Daka,Leicester,4,58,1,0,0.3771501863375306,0,14,0.25
Dominik Szoboszlai,Liverpool,14,946,1,1,1.6293709371238947,2.1423619464039803,67,0.07142857142857142
Beto,Everton,9,159,1,0,2.056129977107048,0,17,0.1111111111111111
